user,type,date,country,uploads,views,subs
djzoi0,comedy,2009-03-26,br,284,"107,897,710","1,912,664"
dorkly,comedy,2007-01-13,us,387,"454,334,166","1,493,209"
eeoneguy,comedy,2013-03-19,ua,240,"1,351,408,377","6,275,614"
elchavodel8,comedy,2006-05-16,mx,616,"680,723,252","1,114,017"
elrubiusomg,comedy,2011-12-20,es,577,"3,273,286,523","16,379,280"
enchufetv,comedy,2011-11-13,co,701,"2,533,849,432","10,236,510"
euficoloko,comedy,2010-06-11,br,496,"306,149,962","4,621,804"
explosmentertainment,comedy,2009-09-03,us,176,"1,054,714,692","5,449,156"
failarmy,comedy,2011-07-05,us,296,"2,404,407,886","9,616,745"
faptivi,comedy,2014-02-26,vn,123,"276,246,381","592,360"
forgetfulbc,comedy,2012-01-13,tw,464,"186,156,296","508,826"
foxadhd,comedy,2012-09-25,us,251,"317,250,641","967,701"
francoescamilla,comedy,2007-10-19,mx,118,"150,164,077","1,046,518"
goldenmoustachevideo,comedy,2012-09-24,fr,189,"389,982,729","2,196,725"
gradeaundera,comedy,2013-01-31,gb,47,"54,669,653","1,022,877"
guillaumepley,comedy,2007-01-08,fr,"1,406","244,788,635","1,132,950"
h3h3productions,comedy,2011-04-29,us,143,"94,240,503","853,760"
hikakintv,comedy,2011-07-19,jp,"1,736","1,801,740,691","2,788,621"
hotbananastud,comedy,2006-01-07,us,116,"73,796,345","796,913"
idubbbztv,comedy,2012-08-18,us,"1,340","85,559,246","568,610"
iisuperwomanii,comedy,2010-10-29,ca,447,"1,078,954,189","7,842,467"
intellegentz,comedy,2006-12-05,us,207,"905,456,265","972,447"
jacksfilms,comedy,2006-06-27,us,690,"604,236,575","2,095,406"
jennamarbles,comedy,2010-02-16,us,286,"1,951,922,876","15,833,811"
jimmykimmellive,comedy,2006-09-20,us,"2,273","2,761,786,501","7,209,259"
justforlaughstv,comedy,2007-01-14,us,"3,492","2,246,980,647","5,143,497"
justkiddingpranks,comedy,2012-01-16,us,500,"107,941,920","237,607"
kvn,comedy,2005-11-26,ru,"5,361","1,115,031,316","2,503,175"
latenight,comedy,2006-01-08,us,"2,199","4,441,077,743","9,856,444"
latenightseth,comedy,2013-05-10,us,754,"129,452,888","355,240"
leriiiiiiiirejaune,comedy,2012-08-01,fr,70,"276,387,810","2,640,921"
lovemspenny,comedy,2006-10-07,us,100,"944,557,300","1,880,304"
luzugames,comedy,2013-05-01,es,"1,528","531,931,307","3,914,122"
markipliergame,comedy,2012-05-26,us,"2,792","4,071,256,291","11,505,629"
monsieurdream,comedy,2007-02-25,fr,80,"1,094,253,253","8,570,649"
mrbean,comedy,2006-01-04,gb,741,"1,868,326,202","2,454,239"
mrbeancartoonworld,comedy,2013-02-25,gb,189,"218,233,786","232,443"
mucamuricoca,comedy,2012-10-31,br,368,"145,977,626","1,738,998"
mysticgotjokes,comedy,2011-10-19,us,255,"353,539,161","2,429,117"
normanfaitdesvideos,comedy,2011-01-04,fr,86,"968,163,707","7,102,209"
outlawzfr,comedy,2008-08-15,fr,243,"117,917,894","850,769"
ownagepranks,comedy,2007-08-13,us,285,"536,370,309","3,680,777"
pelmenitv,comedy,2012-06-27,ru,"1,308","422,095,277","863,398"
platicapolinesa,comedy,2010-11-29,mx,78,"293,235,167","1,746,354"
popcorntvmadboys,comedy,2008-12-15,fr,156,"72,712,106","93,699"
popstvvietnam,comedy,2013-03-26,vn,846,"266,947,275",0
poptoonstv,comedy,2012-11-12,us,45,"176,615,527","481,996"
prankinvasion,comedy,2012-11-26,us,15,"17,298,803","2,242,602"
prankstubeyt,comedy,2014-01-12,ca,439,"177,347,651","534,255"
prankvsprank,comedy,2009-11-10,us,153,"1,586,341,068","9,601,381"
programagalofrito,comedy,2007-10-03,br,273,"947,143,920","7,681,518"
rclbeauty101,comedy,2010-12-14,us,256,"786,721,532","6,650,679"
rhaive2189,comedy,2010-01-16,us,284,"272,159,976","427,215"
salahuddin005,comedy,2009-10-12,sa,7,"139,767,899","155,494"
satochingames,comedy,2013-10-27,jp,552,"46,123,559","48,454"
slavgym,comedy,2013-02-09,ru,98,"88,667,719","334,531"
smosh,comedy,2005-11-19,us,625,"5,253,431,285","21,824,444"
studiya95kvartal,comedy,2013-07-24,ua,"1,794","241,781,726","501,252"
t3ddygames,comedy,2012-01-16,br,698,"333,781,946","2,382,269"
talkingtomcat,comedy,2010-07-04,us,108,"991,117,227","1,877,745"
teamcoco,comedy,2008-06-23,us,"3,959","2,087,694,015","3,618,191"
tgfbro,comedy,2012-05-23,gb,210,"51,469,028","532,421"
thatcherjoe,comedy,2011-11-13,gb,158,"568,536,867","6,018,743"
thebestvines,comedy,2013-05-10,us,299,"529,796,605","2,064,766"
thebrianmaps,comedy,2012-06-04,ru,250,"659,286,695","2,533,415"
thesaudireporters,comedy,2010-04-10,sa,65,"74,671,960","690,376"
todrickhall,comedy,2006-05-27,us,258,"310,678,948","2,045,973"
tokaionair,comedy,2013-10-13,jp,373,"309,676,541","858,346"
tvfilthyfrank,comedy,2013-01-23,us,133,"199,559,886","1,809,978"
vetealaversha,comedy,2009-02-15,mx,97,"800,732,776","5,726,003"
whinderssonnunes,comedy,2013-01-21,br,249,"442,173,408","6,391,331"
whitneyavalon,comedy,2007-02-15,us,26,"203,083,486","675,165"
wismichu,comedy,2012-01-23,es,237,"346,440,650","3,762,974"
woopgang,comedy,2014-02-04,fr,73,"233,223,497","2,117,746"
yapyap,comedy,2013-11-25,tr,670,"450,398,765","1,297,132"
zipkid99,comedy,2010-10-08,us,64,"306,105,138","1,911,241"
zonadecontagio,comedy,2013-04-08,mx,675,"154,291,652","165,189"
afacan,education,2013-11-25,tr,160,"340,474,149","315,288"
alltime10s,education,2010-01-26,gb,"1,036","1,158,820,255","4,039,493"
appuseries,education,2010-04-16,us,"3,697","697,689,768","719,242"
ashforduniversity,education,2010-09-07,us,236,"17,323,386","4,852"
babyfirsttv,education,2007-04-30,us,389,"320,812,597","347,822"
badanamu01,education,2013-03-28,kr,116,"215,493,686","185,199"
billyreid,education,2006-04-21,us,75,"288,933,251","275,418"
briaandchrissy,education,2012-08-02,us,200,"184,807,572","570,220"
cahoficial,education,2011-11-28,cl,141,"376,691,464","348,360"
cantecegradinita,education,2014-05-25,ro,50,"292,071,726","124,766"
cbeebiesgrownups,education,2012-02-14,gb,"1,334","147,842,586","126,553"
checkgate,education,2006-09-01,us,109,"832,619,262","845,497"
coilbook,education,2011-04-15,us,98,"652,267,249","489,070"
coolschool,education,2006-04-06,us,263,"388,953,101","321,983"
crashcourse,education,2006-05-20,us,513,"334,069,304","3,934,607"
crazyemri2,education,2011-05-04,de,128,"101,161,308","1,124,721"
crazykidsrhymes,education,2014-06-16,us,779,"349,243,951","294,617"
cybervillagesolution,education,2008-08-26,in,259,"2,538,328,725","2,127,115"
dark5tv,education,2013-05-06,us,139,"312,861,014","1,661,795"
ddtop20,education,2014-03-01,au,229,"756,821,238","4,254,679"
deevajessica,education,2014-02-11,kr,"1,572","81,137,805","347,096"
dogvsnake,education,2011-04-28,us,172,"96,616,947","145,706"
drsandralee,education,2010-10-20,us,447,"316,397,216","756,594"
edukatetv,education,2012-10-31,us,674,"398,668,209","240,861"
emyfitnessdance,education,2012-02-11,ar,93,"100,059,872","175,365"
epictoychannel,education,2014-04-08,us,"1,508","240,341,972","170,296"
expcaseros,education,2012-09-18,es,347,"234,005,753","1,899,286"
fingerfamilyofficial,education,2014-10-15,gb,117,"274,243,103","218,348"
fingerfamilysongs,education,2014-08-02,in,126,"644,630,743","500,332"
funlearning100,education,2013-04-16,us,37,"193,960,210","353,957"
galileooffiziell,education,2013-07-22,de,900,"236,486,435","739,350"
gamesfornication,education,2013-01-24,us,335,"330,953,791","449,716"
healthcaregov,education,2010-06-17,us,53,"18,198,481","10,022"
hooplakidz,education,2010-05-31,us,380,"1,599,663,953","1,887,437"
hooplakidztv,education,2012-03-14,in,550,"386,507,912","515,211"
hypnosmorfeo,education,2014-08-25,pr,229,"97,229,669","566,515"
infobellstelugu,education,2014-03-13,in,51,"513,667,552","455,990"
kalyakamult,education,2013-11-23,us,188,"91,878,083","75,646"
kapukimama,education,2012-10-21,ru,174,"324,885,886","219,254"
katiecutiekidstv,education,2012-03-22,ca,39,"380,414,335","306,486"
khanacademy,education,2006-11-17,us,"5,408","749,490,225","2,446,132"
kidscamp,education,2007-06-18,us,307,"591,333,416","845,007"
kidsoncloud,education,2012-09-18,th,168,"97,957,618","120,382"
kidsrhymes1,education,2014-04-23,in,441,"144,709,751","100,463"
kidstv123,education,2009-02-28,gb,185,"2,146,841,532","1,610,257"
kidstvrussia,education,2014-11-13,ru,172,"31,243,532","22,247"
littlebabybum,education,2011-06-22,gb,284,"6,354,394,526","5,129,811"
littlebabybumespanol,education,2014-06-06,es,111,"430,596,018","522,746"
mirrorhd,education,2010-03-21,kr,237,"196,338,104","486,311"
mizyakadizyaka,education,2012-05-05,ca,229,"516,564,491","299,530"
mizyakadizyakaeng,education,2014-01-01,ca,37,"217,769,636","205,646"
mothergooseclub,education,2008-04-22,us,344,"3,413,172,297","2,493,010"
muffinsongs,education,2011-11-09,us,936,"1,298,963,606","863,370"
mykiddyworld,education,2013-09-17,us,94,"496,351,569","324,302"
nurseryrhymecorner,education,2013-07-30,us,341,"220,462,649","159,600"
nurseryrhymesforki,education,2014-07-17,us,350,"570,917,941","394,275"
nurseryrhymestreet,education,2012-11-17,us,119,"225,695,390","280,430"
ohmygenius,education,2012-10-30,us,671,"397,214,348","300,010"
onisionspeaks,education,2009-08-11,us,"2,244","325,981,447","1,500,485"
organiclearning,education,2012-03-06,us,112,"262,722,061","181,929"
parrokyano,education,2011-04-28,cl,208,"23,315,304","12,004"
pinkfongko,education,2014-03-11,kr,314,"107,415,375","82,490"
pozzitifonshow,education,2012-05-17,ru,464,"150,464,528","1,027,216"
prankfunnyvideos,education,2012-02-02,,7,"29,222,733","125,001"
qaziinc,education,2010-11-12,ca,132,"367,407,291","214,948"
rohnertparkkarate,education,2007-07-11,us,291,"120,067,317","87,682"
scishow,education,2011-10-20,us,826,"379,620,860","3,073,725"
screenrant,education,2008-08-18,us,390,"340,842,680","1,639,848"
seadoco,education,2011-07-29,jp,457,"87,363,813","61,169"
shimajiroch,education,2011-07-05,jp,317,"154,252,694","212,711"
shows4learning,education,2012-03-05,us,68,"279,518,585","188,241"
signingtime,education,2007-02-13,us,126,"199,887,323","213,151"
smartbooksmedia,education,2011-12-14,kr,312,"266,817,031","266,980"
sockeyemedia,education,2009-02-03,us,421,"2,031,498,608","1,239,675"
solnishkam,education,2012-11-13,ru,18,"592,239,190","378,760"
storybots,education,2012-01-28,us,139,"214,342,124","162,761"
sunnykidstv,education,2013-09-17,ru,13,"54,682,176","57,492"
supersimplesongs,education,2006-09-08,ca,195,"3,705,500,463","2,836,821"
tededucation,education,2011-03-01,us,"1,142","237,680,283","2,060,861"
telblognet,education,2014-03-01,by,389,"43,638,721","224,109"
thechuchutv,education,2013-02-09,in,92,"3,857,315,737","3,357,815"
theengineeringfamily,education,2012-01-30,us,"1,949","1,955,838,432","1,333,542"
thekidspictureshow,education,2012-11-09,us,154,"233,308,159","173,317"
thekydstv,education,2013-07-13,us,916,"1,562,404,584","874,469"
thelittlebabyclub,education,2013-07-12,us,390,"314,757,756","207,263"
toddlerworldtv,education,2012-12-30,fi,50,"764,729,007","641,162"
top10archive,education,2012-09-27,us,282,"91,075,424","494,229"
top10media,education,2014-03-11,gb,335,"392,319,384","2,196,133"
top5unknowns,education,2014-06-26,ca,184,"90,256,618","792,939"
topmostrare,education,2014-01-12,us,58,"67,812,086","128,109"
toptrendingtv,education,2014-02-09,us,350,"701,412,289","3,232,645"
turbotax,education,2006-03-17,us,610,"48,389,459",0
turtleinteractive,education,2012-03-28,in,177,"335,340,043","267,035"
tutitutv,education,2010-07-26,il,267,"2,556,956,531","2,033,581"
videogyan,education,2011-08-27,in,290,"1,142,483,654","998,622"
vids4kidstv,education,2009-01-09,us,366,"256,745,375","137,144"
viragoorson,education,2010-11-05,,6,"3,981,814",510
wearebusybeavers,education,2007-11-28,ca,559,"1,766,321,872","1,846,134"
winxspecialsmovies,education,2012-03-27,ca,108,"30,180,878","45,255"
ybmkinder,education,2013-07-19,,139,"24,562,331","15,246"
0214mex,entertainment,2012-08-31,jp,965,"1,633,366,223","2,697,759"
3uptheyingyang,entertainment,2012-02-21,us,444,"210,659,877","140,953"
abscbnonline,entertainment,2008-07-16,ph,"42,237","3,191,401,458","2,811,151"
amd0777,entertainment,2007-12-26,us,96,"505,791,582","452,802"
